Update,Time,Sportsbook,Type,Cincinnati Bengals,Pittsburgh Steelers
0,2023-12-15 11:52:20-05:00,fanduel,h2h,1.94,1.9100000000000001
0,2023-12-15 11:51:27-05:00,draftkings,h2h,1.82,2.02
0,2023-12-15 11:51:31-05:00,mybookieag,h2h,1.87,1.9500000000000002
0,2023-12-15 11:51:27-05:00,sisportsbook,h2h,1.9100000000000001,1.9100000000000001
0,2023-12-15 11:51:59-05:00,tipico_us,h2h,1.9100000000000001,1.9100000000000001
0,2023-12-15 11:50:56-05:00,williamhill_us,h2h,1.9100000000000001,1.9100000000000001
0,2023-12-15 11:51:28-05:00,unibet_us,h2h,1.85,1.9500000000000002
0,2023-12-15 11:51:28-05:00,betparx,h2h,1.85,1.9500000000000002
0,2023-12-15 11:52:22-05:00,betrivers,h2h,1.85,1.9500000000000002
